"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"363";"501337";"YES";"Meader";2010;"UK";"Drug and Alcohol Dependence";"A comparison of methadone, buprenorphine and alpha2 adrenergic agonists for opioid detoxification: A mixed treatment comparison meta-analysis";20;"4";4;"other / opioids";"1 (pharmacological vs pharmacological)";"No";"Unclear";"NA";"Completion of treatment";"being retained in treatment up to the final day of its planned duration, ingestion of the final dose of study medication, or reaching the point of zero dose of study medica- tion";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"as being
retained in treatment up to the final day of its planned duration, ingestion of the
final dose of study medication, or reaching the point of zero dose of study medication.";"Bayesian Hierarchical Model";"Arm";"19";"1";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"364";"501338";"YES";"Stuart Mealing";2013;"UK";"Experimental Hematology & Oncology";"The relative efficacy of imatinib, dasatinib and nilotinib for newly diagnosed chronic myeloid leukemia: a systematic review and network meta-analysis";7;"6";5;"Imatinib 400mg";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split doses";"Efficacy of Dasatinib, Nilotinib and Imatinib in patients suffering from chronic myeloid leukemia";"complete cytogenetic response";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"complete cytogenetic response in six months";"Bayesian Hierarchical Model";"Arm";"6";"1";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"assumed commonality of treatment effect modifiers across all included studies";"Fixed-effect";"No";"NA";"NR";"NA";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"None";"Bristol-Myers Scuibb Ltd";"Industry-sponsored";"0.47";NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"365";"501339";"YES";"Mhaskar";2012;"USA";"CDSR";"Bisphosphonates in multiple myeloma: a network meta- analysis (Review)";12;"6";7;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Overall survival (OS)";"OS and progression-free survival (PFS)";"Effectiveness";"Beneficial";"Survival";"Subjective";"hazard ratio";"Mortality";"Bayesian Hierarchical Model; Bucher method";"Arm";"12";"1";"1";"0";"0";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Both FE and RE";"No";"NR";"vague prior distribution";"NR";"Yes";"Yes";"Funnel plot; Begg's test; Egger's test";"Probability of being the best";"Subset";"No";"No";"NA";"Center for Evidence-based Medicine,The University of South Florida, USA; Department of Internal Medicine, University of Bonn, Germany; Leukämie-Initiative Bonn e.v., Germany; Cochrane Haematological Malignancies Group (CHMG), Germany.";"Publicly-sponsored";NA;NA;NA;"bayesian & frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"366";"501340";"YES";"Middleton";2010;"UK";"BMJ";"Hysterectomy, endometrial destruction, and levonorgestrel releasing intrauterine system (Mirena) for heavy menstrual bleeding: systematic review andmeta-analysis of data from individual patients";20;"4";4;"-";"3 (non-pharmacological vs any)";"Yes";"No";"NA";"efficacy as second line treatment for heavy menstrual bleeding";"dissatisfaction at 12 months";"Effectiveness";"Harmful";"Binary";"Subjective";"odds ratio";"Number of participants with dissatisfaction";"Meta regression";"Arm";"20";"0";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"NR";"Fixed-effect";"No";"NA";"NA";"NR";"Yes";"No";"NA";"NA";"Subset";"Yes";"No";"Unclear";"NIHR";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"369";"501343";"YES";"Mills";2009;"Canada";"Ann Clin Microbiology & Antimicrobials";"Antifungal treatment for invasive Candida infections: a mixed treatment comparison meta-analysis.";14;"5";5;"Amphotericin B Deoxycholate";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"effectiveness of antifungal treatment for invasive Candida infections";"all cause mortality";"Effectiveness";"Harmful";"Binary";"objective";"risk ratio";"mortality";"Bayesian Hierarchical Model";"Arm";"11";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Fixed-effect";"No";"NA";"NR";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"Pfizer Ltd";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"370";"501344";"YES";"Mills";2009;"Canada";"BMC";"Metastatic renal cell cancer treatments: An indirect comparison meta-analysis.";5;"4";4;"Interferon-a";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"relative effectiveness of new therapies for metastatic renal cell cancer";"progression free survival";"Effectiveness";"Harmful";"Survival";"objective";"hazard ratio";"mortality";"Adjusted indirect comparison (Bucher)";"Study";"7";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"similar comparators
across similar patient groups";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Pfizer Ltd";"Industry-sponsored";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"371";"501345";"YES";"Mills";2008;"Canada";"J Amer College of Cardiology";"Primary prevention of cardiovascular mortality and events with statin treatments: a network meta-analysis involving more than 65,000 patients.";19;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"effectiveness of statins in CVD";"cardiovascular disease mortality";"Effectiveness";"Harmful";"Binary";"objective";"risk ratio";"mortality";"Bayesian Hierarchical Model";"Arm";"19";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Funnel plot";"Probability of being the best";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"372";"501346";"YES";"Mills";2011;"Canada";"QJM";"Efficacy and safety of statin treatment for cardiovascular disease: a network meta-analysis of 170 255 patients from 76 randomized trials.";58;"33";7;"control";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy of statins for cardiovascular disease";"all cause mortality";"Effectiveness";"Harmful";"Binary";"objective";"risk ratio";"mortality";"Bayesian Hierarchical Model";"Arm";"58";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"374";"501348";"YES";"Mills";2010;"Canada";"Harm Reduction Journal";"Efficacy of pharmacotherapies for short-term smoking abstinance: a systematic review and meta-analysis.";89;"4";4;"control";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Smoking Abstinence";"Smoking Abstinence at approximately 4 weeks post-target quit date (TQD)";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"Number with at least 4 weeks duration with biochemical confirmation
of smoking";"Adjusted indirect comparison (Bucher)";"Arm";"86";"3";"0";"0";"0";"Full Network";"2";"Loop-specific";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"NA";"NR";"Yes";"Yes";"Funnel plot; Egger's test";"NA";"Subset";"No";"No";"NA";"Pfizer Ltd";"Industry-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"375";"501350";"YES";"Murad";2012;"USA";"J Clin Endocrinol Metab.";"Comparative Effectiveness of Drug Treatments to Prevent Fragility Fractures: A Systematic Review and Network Meta-Analysis";40;"NR";11;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"risk  of fractures";"reduction in the risk of hip fracture";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"Numer with hip fracture";"Bayesian Hierarchical Model";"Arm";"37";"1";"2";"0";"0";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"No";"NR";"Non-informative Prior";"NR";"Yes";"Yes";"Funnel plot; Egger's test";"Probability of being the best";"All";"No";"No";"NA";"The Endocrine Society";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"376";"501351";"YES";"Huseyin Naci";2013;"UK";"Circulation: Cardiovascular Quality and Outcomes";"Comparative Tolerability and Harms of Individual Statins: A Study-Level Network Meta-Analysis of 246 955 Participants From 135 Randomized, Controlled Trials";135;"26";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Harms of individual statins";"discontinuations because of adverse events";"Safety";"Harmful";"Binary";"semi-objective";"odds ratio";"number of participants who discontinued the study medication due to adverse events";"Bayesian Hierarchical Model";"Arm";"89";"10";"10";"4";"1";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"we assumed that the distribution of relative treatment effect modifiers (eg, baseline cholesterol levels) was balanced across different treatment comparisons";"Random effects";"random-effects model took into account potential heterogeneity by assuming that each treatment was drawn from the same distribution, whose mean and variance were estimated from the data";"Unclear";"NR";"NA";"Yes";"Yes";"contour enhanced funnel plots";"SUCRA; Probability of being the best";"All";"No";"No";"Incomplete outcome data";"Not mentioned";"Funding source not reported";"no data available";"no data available";"no data available";NA;"long";0;1;"""After removing comparisons with missing treatment effects or standard errors,\n  study '98' has a wrong number of comparisons. Please check data and\n  consider to remove study from network meta-analysis.""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"379";"501354";"YES";"Nelson";2006;"USA";"JAMA";"Nonhormonal therapies for menopausal hot flashes: systematic review and meta-analysis.";26;"NR";6;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Unclear";"efficacy of nonhormonal therapies for menopausal hot flashes";"benefits";"Effectiveness";"Harmful";"Continuous";"Subjective";"mean difference";"Reduced in the frequency of hot flashes";"NR";"Study";"24";"1";"1";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"because there was evidence of heterogeneity between trials based on the  2 test for heterogeneity at a significance level of P=.10 and the I2 statistic, percentage of total variation across studies due to heterogeneity rather than chance, of more than 25%";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot; Egger's linear regression method";"NA";"Subset";"No";"No";"NA";"The National Institutes of Health (NIH) Office of Medical Applications of Research; the Portland Veterans Affairs Medical Center Women’s Health Fellowship.";"Publicly-sponsored";NA;NA;NA;"Unclear";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"380";"501355";"YES";"Nixon";2007;"UK";"Rheumatology";"The efficacy of inhibiting tumour necrosis factor a and interleukin 1 in patients with rheumatoid arthritis: a meta-analysis and adjusted indirect comparisons";11;"9";9;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"ACR20 at 6 months for Rheumatoid arthritis";"reduction by 20% or more in the number of tender and swollen joints plus 20% improvement in at least three of the following five measures: pain, patient global assessment, physician global assessment, self-assessed physical disability (measured";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"Number of those achieving ACR20 at 6 months";"Adjusted indirect comparison (Bucher)";"Arm";"10";"1";"0";"0";"0";"Full Network";"2";"NR";"Unclear";"Unclear";"No (Baseline characteristics differ substantially)";"Both FE and RE";"The effect sizes, adjusted for study-level characteristics, will not be identical, as the regression will not completely explain the heterogeneity, and so a random-effects distribution is placed on the adjusted effects sizes. Validation model used FE";"The study-level covariables, mean disease duration and mean disability index at baseline, explain 67% and 91% of the between-study heterogeneity in the ACR20 and ACR50 log odds response rates, respectively";"NR";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"Wyeth, Interleukin Genetics Inc.; Abbott Laboratories; the British Society of Rheumatology; the US Agency for Healthcare Research and Quality; AstraZeneca";"Industry and Publicly sponsored";NA;NA;NA;"Unclear";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"383";"501358";"YES";"Padwal";2011;"Canada";"Obes Rev";"Bariatric surgery: a systematic review and network meta-analysis of randomized trialsobr_";15;"9";9;"standard care";"3 (non-pharmacological vs any)";"Yes";"NA";"NA";"comparison of bariatric surgeries and standard care";"differences in BMI levels from baseline";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"Per cent excess
weight loss was converted to change in BMI by defining
excess as a BMI >25 kg m-2 at 1 year";"Bayesian Hierarchical Model";"Arm";"15";"0";"0";"0";"0";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"Due to the differences expected between trials, we decided a priori to combine results using a random effects model";"Unclear";"Non-informative Prior";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"imputation";"the Canadian Agency for Drugs and Technology in Health; the Alberta Heritage Foundation for Medical Research;  the Canadian Institutes of Health Research";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"386";"501361";"YES";"Carlo Palmieri";2013;"UK";"Clinical Cancer Research";"Comparative Efficacy of Bisphosphonates in Metastatic Breast and Prostate Cancer and Multiple Myeloma: A Mixed-Treatment Meta-analysis";7;"6";6;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Efficacy of zoledronic acid, clodronate, pamidronate and ibandronate (i.v. and oral)";"skeletal-related events (SRE) secondary to metastatic breast";"Effectiveness";"Harmful";"Rate";"Semi-objective";"Relative rate";"mainly skeletal related events per patient per year,secondary number of patients affected by skeletal related events per period";"Bayesian Hierarchical Model";"Arm";"7";"0";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"breast cancer studies were comparable in terms of patient populations and skeletal endpoints";"Fixed-effect";"No";"NA";"NR";"NA";"Unclear";"No";"NA";"Probability of being the best";"Subset";"No";"No";"None";"Novartis UK Limited";"Industry-sponsored";"no";"no";"no";NA;"long";0;1;"object 'metaNetw' not found";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"387";"501363";"YES";"Petros Pechlivanoglou";2013;"Canada";"Journal of Antimicrobial Chemotherapy";"Mixed treatment comparison of prophylaxis against invasive fungal infections in neutropenic patients receiving therapy for haematological malignancies: a systematic review";25;"NR";9;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Efficacy of antifungal prophylaxis strategies";"risk of proven or probable invasive fungal infections (IFIs)";"Effectiveness";"Harmful";"Rate";"objective";"Relative risk";"total number of proven or probable invasive fungal infections";"Bayesian Hierarchical Model";"Arm";"24";"0";"1";"0";"0";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"None";"Both FE and RE";"DIC was compared between the two models - Random effects had better goodness-of-fit";"Unclear";"NR";"NA";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"Cross-sectional imputation method";"Merck & Co";"Industry-sponsored";"no";"no";"no";NA;"long";0;1;"object 'metaNetw' not found";NA;NA;NA;NA;"(one study contains multiple arms with the same intervention)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"388";"501364";"YES";"Peterson";2008;"USA";"Psychopharmacology";"Comparative benefits and harms of competing medications for adults with attention-deficit hyperactivity disorder: a systematic review and indirect comparison meta-analysis.";17;"25";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy";"clinical response for adults with attention-deficit hyperactivity disorder";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"Numbers with clinical response";"Meta regression";"Study";"17";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"We used a random effects model to combine the data to account for variation among studies. When there is no variation among studies, the random effects model yields the same results as a fixed effects model";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot; Egger's linear regression method";"NA";"Subset";"No";"No";"NA";"Drug Effectiveness Review Project";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"389";"501365";"YES";"Phung";2011;"USA";"Chest";"Dosing frequency of unfractionated heparin thromboprophylaxis: A meta-analysis.";13;"4";4;"control/placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Efficacy of thromboprophylaxis strategies";"risk of deep venous thrombosis";"Effectiveness";"Harmful";"Binary";"Semi-objective";"risk ratio";"Number of participants with  deep venous thrombosis";"Bayesian Hierarchical Model";"Arm";"12";"0";"0";"0";"0";"Full Network";"2";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"390";"501366";"YES";"Phung";2010;"USA";"JAMA";"Effect of noninsulin antidiabetic drugs added to metformin therapy on glycemic control, weight gain, and hypoglycemia in type 2 diabetes.";20;"NR";7;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"No";"comparative efficacy";"change in HbA1c level from baseline";"Effectiveness";"Harmful";"Continuous";"Objective";"mean difference";"Average change in the  HbA1c level";"Bayesian Hierarchical Model";"Arm";"18";"2";"0";"0";"0";"Full Network";"4";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Funnel plot; Egger's test";"NA";"Subset";"No";"No";"NA";"Hartford Hospital Research Foundation,
Hartford, Connecticut.";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"391";"501367";"YES";"Phung";2011;"USA";"Diabetic Medicine";"Oral anti-diabetic drugs for the prevention of Type 2 diabetes.";20;"NR";6;"control/placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Efficacy of oral anti-diabetic drugs for the prevention of Type 2 diabetes";"number of patients developing new-onset diabetes";"Effectiveness";"Harmful";"Binary";"Semi-objective";"risk ratio";"# of patients developing new-onset diabetes";"Bayesian Hierarchical Model";"Arm";"16";"1";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Egger’s weighted regression statistic";"NA";"All";"No";"No";"NA";"Takeda Pharmaceuticals North America Inc.";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"392";"501368";"YES";"Picard";2000;"France";"Anesth Analg";"Prevention of pain on injection with propofol: a quantitative systematic review.";43;"17";8;"no treatment";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"analgecic efficacy of proplylactic interventions for the prevention of pain on injection with propofol";"no pain";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"Number with complete absence of pain (dichotomous data)";"NR";"Arm";"28";"12";"3";"0";"0";"Full Network";"33";"NR";"Unclear";"Unclear";"NR";"Fixed-effect";"No";"NA";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Swiss National Science Foundation";"Publicly-sponsored";NA;NA;NA;"Unclear";"long";0;1;"""After removing comparisons with missing treatment effects or standard errors,\n  study '2' has a wrong number of comparisons.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Please check data and\n  consider to remove study from network meta-analysis"
"394";"501370";"YES";"Playford";2009;"Australia";"CDSR";"Antifungal agents for preventing fungal infections in solid organ transplant recipients.";10;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"Antifungal agents for preventing fungal infections in solid organ transplant recipients";"mortality";"Effectiveness";"Harmful";"Binary";"objective";"risk ratio";"mortality";"NR";"Arm";"10";"0";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot";"NA";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"NR";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"395";"501371";"YES";"Playford";2006;"Australia";"Eur J Clin Microbiol Infect Dis";"Systematic review and meta-analysis of antifungal agents for preventing fungal infections in liver transplant recipients.";7;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"antifungal agents for preventing fungal infections in liver transplanet recipients";"total mortality";"Effectiveness";"Harmful";"Binary";"objective";"risk ratio";"mortality";"NR";"Arm";"9";"1";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"Treatment effects across trials were combined using a randomeffects model and compared with a fixed-effect model in a sensitivity analysis.";"Unclear";"NR";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Unclear";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"396";"501372";"YES";"Pollock";2009;"UK";"CDSR";"Physiotherapy treatment approaches for the recovery of postural control and lower limb function following stroke.";9;"5";5;"no treatment/placebo";"3 (non-pharmacological vs any)";"Yes";"NA";"NA";"recovery of postural control and lower limb function in patients with stroke";"global dependency scale";"Effectiveness";"Beneficial";"Continuous";"Subjective";"standardized mean difference";"Average change in the Barthel Index for measurement of the  global dependency scale";"NR";"Arm";"8";"1";"0";"0";"0";"Full Network";"2";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Chest Heart and Stroke, The Big Lottery, UK";"Publicly-sponsored";NA;NA;NA;"NR";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"397";"501373";"YES";"Psaty";2003;"USA";"JAMA";"Health outcomes associated with antihypertensive therapies used as first-line agents. A systematic review and meta-analysis.";28;"NR";7;"placebo/untreated/usual care";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Antihypertensive Therapy-Coronary heart disease (CHD) including fatal and nonfatal events";"Cardiovascular disease events included CHD, stroke, CHF, and other cardiovascular disease mortality";"Effectiveness";"Harmful";"Binary";"Objective";"risk ratio";"Number of Cardiovascular disease events";"Meta regression";"Arm";"24";"4";"0";"0";"0";"Full Network";"10";"Lumley model";"Yes";"Yes";"comparative trials address the question
of which first-line treatment regimen is
optimal";"Random effects";"No";"Unclear";"NR";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"National Heart, Lung, and Blood Institute, National Institute on Aging, Patient Care and Outcomes Research Program of the American Heart Association, AHA Pharmaceutical Roundtable Outcomes Research Program";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"398";"501374";"YES";"Puhan";2009;"Switzerland";"BMC";"Inhaled drugs to reduce exacerbations in patients with chronic obstructive pulmonary disease: a network meta-analysis.";34;"22";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"exacerbation in patients with chronic obstructive pulmonary disease";"event based (physician or emergency room visit, hospital admission) or symptom based (increase of dysp- nea, sputum, or cough; for example according to Anthonisen et al )";"Effectiveness";"Harmful";"Binary";"Subjective";"odds ratio";"Number with exacerbation";"Meta regression";"Arm";"27";"1";"6";"0";"0";"Full Network";"7";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"Swiss National Science Foundation, The Helmut Horten Foundation";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"400";"501376";"YES";"Ramsberg";2012;"Sweden";"Plos One";"Effectiveness and Cost-Effectiveness of Antidepressants in Primary Care: A Multiple Treatment Comparison Meta- Analysis and Cost-Effectiveness Model";87;"17";17;"control";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy of different antidepressants";"remission rates defined as a Hamilton Depression Rating Scale (HAMD)-score <= 7";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"Number with remission";"Bayesian Hierarchical Model";"Arm";"87";"0";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Both FE and RE";"the outcome, i.e. probability of remission, was modelled on the log-odds scale with additive fixed effects for each treatment. A random-baseline model was employed to account for heterogeneity between trials.";"A random-baseline model was employed to account for heterogeneity between trials";"Non-informative Prior";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"401";"501377";"YES";"Reich";2011;"Germany";"British Journal of Dermatology";"Efficacy of biologics in the treatment of moderate to severe psoriasis: A network meta- analysis of randomised controlled trials";20;"15";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Yes";"effectiveness of all biologic agents indicated in the treatment of moderate to severe psoriasis";"PASI 50, 75 and 90 response rates (PASI 90 - primary)";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"Number achieving PASI 50";"Bayesian Hierarchical Model";"Arm";"13";"7";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"vague prior";"NR";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"No";"NA";"Johnson and Johnson Pharmaceutical Services";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
